clique_id,Amicizie mancanti, Simmetrie mancanti 
5946a5a7f810d5692243e384,0.0,6
5946a5a7f810d5692243e385,0.0,3
5946a5a7f810d5692243e388,0.0,3
5946a5a7f810d5692243e389,0.0,2
5946a5a7f810d5692243e38a,0.0,7
5946a5a7f810d5692243e38b,0.0,9
5946a5a7f810d5692243e38c,0.0,9
5946a5a7f810d5692243e38d,0.0,1
5946a5a7f810d5692243e390,0.0,8
5946a5a7f810d5692243e392,0.0,9
5946a5a7f810d5692243e396,0.0,1
5946a5a7f810d5692243e397,0.0,0
5946a5a7f810d5692243e398,0.0,1
5946a5a7f810d5692243e39b,0.0,5
5946a5a7f810d5692243e39d,0.0,3
5946a5a7f810d5692243e39e,0.0,2
5946a5a7f810d5692243e39f,0.0,5
5946a5a7f810d5692243e3a0,0.0,2
5946a5a7f810d5692243e3a1,0.0,8
5946a5a7f810d5692243e3a2,0.0,9
5946a5a7f810d5692243e3a3,0.0,8
5946a5a7f810d5692243e3a4,0.0,10
5946a5a7f810d5692243e3a7,0.0,2
5946a5a7f810d5692243e3a8,0.0,1
5946a5a7f810d5692243e3a9,0.0,1
5946a5a7f810d5692243e3aa,0.0,1
5946a5a7f810d5692243e3ae,0.0,2
5946a5a7f810d5692243e3af,0.0,2
5946a5a7f810d5692243e3b0,0.0,4
5946a5a7f810d5692243e3b1,0.0,2
5946a5a7f810d5692243e3b2,0.0,0
5946a5a7f810d5692243e3b4,0.0,2
5946a5a7f810d5692243e3b5,0.0,2
5946a5a7f810d5692243e3b6,0.0,1
5946a5a7f810d5692243e3b7,0.0,10
5946a5a7f810d5692243e3b8,0.0,10
5946a5a7f810d5692243e3b9,0.0,8
5946a5a7f810d5692243e3ba,0.0,8
5946a5a7f810d5692243e3bd,0.0,3
5946a5a7f810d5692243e3be,0.0,3
5946a5a7f810d5692243e3bf,0.0,7
5946a5a7f810d5692243e3c0,0.0,3
5946a5a7f810d5692243e3c1,0.0,1
5946a5a7f810d5692243e3c2,0.0,5
5946a5a7f810d5692243e3c3,0.0,2
5946a5a7f810d5692243e3c4,0.0,7
5946a5a7f810d5692243e3c5,0.0,7
5946a5a7f810d5692243e3c6,0.0,9
5946a5a7f810d5692243e3cb,0.0,1
5946a5a7f810d5692243e3cc,0.0,6
5946a5a7f810d5692243e3cd,0.0,4
5946a5a7f810d5692243e3cf,0.0,3
5946a5a7f810d5692243e3d0,0.0,4
5946a5a7f810d5692243e3d1,0.0,6
5946a5a7f810d5692243e3d2,0.0,7
5946a5a7f810d5692243e3d3,0.0,5
5946a5a7f810d5692243e3d4,0.0,3
5946a5a7f810d5692243e3da,0.0,1
5946a5a7f810d5692243e3de,0.0,7
5946a5a7f810d5692243e3df,0.0,7
5946a5a7f810d5692243e3e0,0.0,11
5946a5a7f810d5692243e3e1,0.0,8
5946a5a7f810d5692243e3e4,0.0,10
5946a5a7f810d5692243e3e5,0.0,9
5946a5a7f810d5692243e3e6,0.0,11
5946a5a7f810d5692243e3e7,0.0,10
5946a5a7f810d5692243e3e8,0.0,4
5946a5a7f810d5692243e3e9,0.0,4
5946a5a7f810d5692243e3ea,0.0,3
5946a5a7f810d5692243e3f7,0.0,7
5946a5a7f810d5692243e3f8,0.0,7
5946a5a7f810d5692243e3f9,0.0,0
5946a5a7f810d5692243e3fa,0.0,1
5946a5a7f810d5692243e3fc,0.0,7
5946a5a7f810d5692243e3fe,0.0,9
5946a5a7f810d5692243e3ff,0.0,3
5946a5a7f810d5692243e400,0.0,9
5946a5a7f810d5692243e401,0.0,10
5946a5a7f810d5692243e402,0.0,10
5946a5a7f810d5692243e403,0.0,13
5946a5a7f810d5692243e404,0.0,11
5946a5a7f810d5692243e406,0.0,8
5946a5a7f810d5692243e407,0.0,8
5946a5a7f810d5692243e408,0.0,10
5946a5a7f810d5692243e409,0.0,11
5946a5a7f810d5692243e40a,0.0,10
5946a5a7f810d5692243e40b,0.0,8
5946a5a7f810d5692243e40d,0.0,1
5946a5a7f810d5692243e40e,0.0,1
5946a5a7f810d5692243e40f,0.0,3
5946a5a7f810d5692243e410,0.0,5
5946a5a7f810d5692243e411,0.0,4
5946a5a7f810d5692243e412,0.0,1
5946a5a7f810d5692243e414,0.0,1
5946a5a7f810d5692243e415,0.0,2
5946a5a7f810d5692243e416,0.0,5
5946a5a7f810d5692243e417,0.0,7
5946a5a7f810d5692243e418,0.0,5
5946a5a7f810d5692243e419,0.0,2
5946a5a7f810d5692243e41a,0.0,10
5946a5a7f810d5692243e41b,0.0,10
5946a5a7f810d5692243e41c,0.0,10
5946a5a7f810d5692243e41e,0.0,7
5946a5a7f810d5692243e41f,0.0,6
5946a5a7f810d5692243e420,0.0,8
5946a5a7f810d5692243e421,0.0,7
5946a5a7f810d5692243e422,0.0,8
5946a5a7f810d5692243e42c,0.0,10
5946a5a7f810d5692243e42d,0.0,10
5946a5a7f810d5692243e42e,0.0,11
5946a5a7f810d5692243e42f,0.0,4
5946a5a7f810d5692243e430,0.0,4
5946a5a7f810d5692243e431,0.0,7
5946a5a7f810d5692243e432,0.0,3
5946a5a7f810d5692243e433,0.0,10
5946a5a7f810d5692243e434,0.0,10
5946a5a7f810d5692243e435,0.0,10
5946a5a7f810d5692243e436,0.0,14
5946a5a7f810d5692243e437,0.0,11
5946a5a7f810d5692243e43e,0.0,0
5946a5a7f810d5692243e444,0.0,4
5946a5a7f810d5692243e445,0.0,4
5946a5a7f810d5692243e446,0.0,4
5946a5a7f810d5692243e447,0.0,4
5946a5a7f810d5692243e44d,0.0,4
5946a5a7f810d5692243e44e,0.0,3
5946a5a7f810d5692243e44f,0.0,4
5946a5a7f810d5692243e450,0.0,3
5946a5a7f810d5692243e45b,0.0,1
5946a5a7f810d5692243e45c,0.0,0
5946a5a7f810d5692243e4d5,0.0,4
5946a5a7f810d5692243e4d6,0.0,3
5946a5a7f810d5692243e4d7,0.0,3
5946a5a7f810d5692243e4d8,0.0,4
5946a5a7f810d5692243e4d9,0.0,9
5946a5a7f810d5692243e4da,0.0,10
5946a5a7f810d5692243e4db,0.0,10
5946a5a7f810d5692243e4dc,0.0,8
5946a5a7f810d5692243e4dd,0.0,8
5946a5a7f810d5692243e4de,0.0,3
5946a5a7f810d5692243e4df,0.0,3
5946a5a7f810d5692243e4e0,0.0,3
5946a5a7f810d5692243e4e1,0.0,4
5946a5a7f810d5692243e4e2,0.0,10
5946a5a7f810d5692243e4e3,0.0,10
5946a5a7f810d5692243e519,0.0,3
5946a5a7f810d5692243e51a,0.0,2
5946a5a7f810d5692243e51b,0.0,3
5946a5a7f810d5692243e51c,0.0,3
5946a5a7f810d5692243e51d,0.0,4
5946a5a7f810d5692243e51e,0.0,4
5946a5a7f810d5692243e51f,0.0,3
5946a5a7f810d5692243e520,0.0,4
5946a5a7f810d5692243e521,0.0,8
5946a5a7f810d5692243e522,0.0,9
5946a5a7f810d5692243e523,0.0,9
5946a5a7f810d5692243e524,0.0,8
5946a5a7f810d5692243e525,0.0,8
5946a5a7f810d5692243e526,0.0,2
5946a5a7f810d5692243e527,0.0,2
5946a5a7f810d5692243e528,0.0,2
5946a5a7f810d5692243e529,0.0,3
5946a5a7f810d5692243e52a,0.0,9
5946a5a7f810d5692243e52b,0.0,9
5946a5a7f810d5692243e52c,0.0,8
5946a5a7f810d5692243e52d,0.0,8
5946a5a7f810d5692243e52e,0.0,5
5946a5a7f810d5692243e52f,0.0,5
5946a5a7f810d5692243e530,0.0,8
5946a5a7f810d5692243e531,0.0,8
5946a5a7f810d5692243e539,0.0,7
5946a5a7f810d5692243e53b,0.0,7
5946a5a7f810d5692243e55f,0.0,4
5946a5a7f810d5692243e56e,0.0,7
5946a5a7f810d5692243e595,0.0,9
5946a5a7f810d5692243e5ad,0.0,9
5946a5a7f810d5692243e5ae,0.0,9
5946a5a7f810d5692243e5ba,0.0,2
5946a5a7f810d5692243e5ca,0.0,8
5946a5a7f810d5692243e5d0,0.0,0
5946a5a7f810d5692243e5d1,0.0,1
5946a5aef810d5692243fbc6,0.0,9
5946a5aff810d5692243fcba,0.0,12
5946a5aff810d5692243fcbe,0.0,13
5946a5aff810d5692243fcbf,0.0,13
5946a5aff810d5692243fcc7,0.0,11
5946a5b3f810d569224400b0,0.0,11
5946a5b3f810d569224400b4,0.0,11
5946a5b3f810d569224400c5,0.0,8
5946a5b3f810d569224400d6,0.0,13
5946a5b3f810d569224400ff,0.0,13
5946a5b3f810d56922440103,0.0,13
5946a5b3f810d569224401ed,0.0,11
5946a5b3f810d56922440205,0.0,12
5946a5b3f810d5692244025c,0.0,13
5946a5b3f810d56922440261,0.0,13
5946a5b3f810d56922440284,0.0,12
5946a5b3f810d569224402a1,0.0,13
5946a5b3f810d569224402a5,0.0,13
5946a5b3f810d569224402a7,0.0,17
5946a5b3f810d569224402a8,0.0,18
5946a5b3f810d569224402ba,0.0,12
5946a5b3f810d569224402bd,0.0,16
5946a5b3f810d569224402bf,0.0,17
5946a5b3f810d569224402f7,0.0,12
5946a5b3f810d5692244040c,0.0,15
5946a5b3f810d5692244040d,0.0,16
5946a5b3f810d5692244042f,0.0,15
5946a5b3f810d56922440430,0.0,16
5946a5b3f810d569224404ab,0.0,11
5946a5b3f810d569224404ac,0.0,14
5946a5b3f810d569224404ad,0.0,14
5946a5b3f810d56922440605,0.0,13
5946a5b3f810d56922440661,0.0,13
5946a5b3f810d56922440665,0.0,13
