clique_id, presenze massime_count, numero_nodi,Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5946aee9f810d5692254990a,10,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946acc1f810d56922510322,15,8,8,8,8,8,1,1,1,1
5946aee6f810d56922546dbb,11,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f2f810d5692244a12d,19,8,8,7,7,7,1,"0,875","0,875","0,875"
5946a5f3f810d5692244a3f5,8,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad0cf810d5692251ec11,10,9,9,9,9,9,1,1,1,1
5946a8fcf810d569224c3968,14,8,8,8,7,6,1,1,"0,875","0,75"
5946a5f3f810d5692244a821,18,8,8,8,8,8,1,1,1,1
5946aee7f810d56922547746,12,8,8,8,7,7,1,1,"0,875","0,875"
5946acfef810d569225136a0,18,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad4ff810d5692252869c,19,9,9,9,9,9,1,1,1,1
5946ad0bf810d5692251eb1e,13,8,8,7,6,6,1,"0,875","0,75","0,75"
5946ad97f810d5692252db40,17,11,11,11,11,11,1,1,1,1
5946acfef810d56922513862,10,9,9,9,9,9,1,1,1,1
5946ad0df810d569225204a9,10,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946acb2f810d5692250ec81,12,9,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946ad0df810d5692251f90e,10,9,9,9,9,9,1,1,1,1
5946b008f810d5692255b5c7,13,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946a8fff810d569224c5b53,14,8,8,7,7,7,1,"0,875","0,875","0,875"
5946ad0df810d569225204c8,8,9,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946a7b7f810d5692249449c,15,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946ad9bf810d5692253073d,8,9,9,9,9,9,1,1,1,1
5946ae57f810d5692253c9b0,15,8,8,8,8,8,1,1,1,1
5946acfff810d56922513dc3,18,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5f3f810d5692244aca1,14,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8edf810d569224b84d1,13,10,10,10,9,9,1,1,"0,9","0,9"
5946aa6af810d569224f2099,16,10,10,10,10,10,1,1,1,1
5946ad98f810d5692252e980,15,11,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946ad9bf810d56922530730,13,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f3f810d5692244aa38,12,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7b8f810d569224951e7,12,8,7,6,6,6,"0,875","0,75","0,75","0,75"
5946aef2f810d56922551115,18,9,9,9,9,9,1,1,1,1
5946ad02f810d569225167ca,11,11,11,11,11,11,1,1,1,1
5946ad04f810d56922518213,8,9,9,9,9,9,1,1,1,1
5946af0af810d5692255240f,10,10,10,10,10,10,1,1,1,1
5946ad08f810d5692251c186,8,10,10,9,9,9,1,"0,9","0,9","0,9"
5946aec6f810d5692254429b,17,11,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946ad06f810d5692251a323,14,10,10,9,9,9,1,"0,9","0,9","0,9"
5946b009f810d5692255bb85,8,9,9,9,9,9,1,1,1,1
5946a8fff810d569224c5c11,11,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946aee7f810d56922547fb5,18,8,8,7,6,6,1,"0,875","0,75","0,75"
5946a906f810d569224c7a66,16,9,9,9,9,9,1,1,1,1
5946a8f5f810d569224bcc60,16,8,8,8,8,8,1,1,1,1
5946aee8f810d56922548689,10,11,11,11,11,11,1,1,1,1
5946a83cf810d569224a46a0,13,9,9,9,9,9,1,1,1,1
5946aef0f810d5692254fa39,17,8,8,8,8,8,1,1,1,1
5946ad07f810d5692251a752,10,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f3f810d5692244ab7c,15,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f3f810d5692244a5fc,14,9,9,9,9,9,1,1,1,1
5946ad4ff810d56922527dcd,16,10,10,10,10,10,1,1,1,1
5946acfef810d569225136a8,11,9,9,9,9,9,1,1,1,1
5946abb7f810d56922504dfd,14,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fbf810d569224c2ca0,12,11,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946ad00f810d56922514c05,12,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad03f810d56922517920,7,8,8,7,7,7,1,"0,875","0,875","0,875"
5946a5f3f810d5692244b029,14,10,10,10,10,10,1,1,1,1
5946aee8f810d569225488f4,10,8,8,8,8,8,1,1,1,1
5946b1caf810d5692256844f,7,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aef2f810d56922550ae4,19,9,9,9,9,9,1,1,1,1
5946aef0f810d5692254fd9d,17,10,10,9,8,8,1,"0,9","0,8","0,8"
5946a8f2f810d569224bab3a,19,10,10,10,10,10,1,1,1,1
5946b009f810d5692255bf8a,16,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8b6f810d569224b26c0,8,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad05f810d56922518f46,17,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a72cf810d5692247e60a,20,9,9,9,9,9,1,1,1,1
5946aea2f810d5692253f741,11,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad03f810d56922517d6e,12,11,11,11,11,11,1,1,1,1
5946a8fff810d569224c5be3,12,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ad08f810d5692251c19c,7,10,10,10,10,10,1,1,1,1
5946adf0f810d569225356af,9,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aac0f810d569224f655a,15,10,10,10,10,10,1,1,1,1
5946a8f1f810d569224b97c4,21,8,8,8,8,8,1,1,1,1
5946a790f810d5692248e83a,13,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a775f810d5692248dbff,11,10,10,10,10,10,1,1,1,1
5946a5f3f810d5692244ae5b,19,8,8,7,7,7,1,"0,875","0,875","0,875"
5946abdef810d5692250700e,14,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8f7f810d569224be71b,34,8,8,8,8,8,1,1,1,1
5946a576f810d5692243630e,16,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946a8f4f810d569224bc878,12,12,12,12,12,12,1,1,1,1
5946abb7f810d56922504495,12,8,8,7,7,7,1,"0,875","0,875","0,875"
5946ae28f810d56922538a94,16,10,10,10,9,9,1,1,"0,9","0,9"
5946a84af810d569224a4c41,10,11,11,11,11,11,1,1,1,1
5946ad04f810d56922518010,12,11,11,11,11,11,1,1,1,1
5946a7a2f810d569224905dc,1,9,9,6,6,4,1,"0,6666666667","0,6666666667","0,4444444444"
5946a7b8f810d569224950e0,21,9,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946ad07f810d5692251b246,14,9,9,9,9,9,1,1,1,1
5946b009f810d5692255bae3,9,10,10,10,10,10,1,1,1,1
5946a8fff810d569224c65ee,8,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad0af810d5692251d91e,19,11,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946ad00f810d56922514c21,12,8,8,8,8,8,1,1,1,1
5946aef2f810d56922550a99,15,11,11,11,11,11,1,1,1,1
5946a8fff810d569224c5c40,11,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aec6f810d56922543a81,15,9,9,9,9,9,1,1,1,1
5946a8fff810d569224c5c2e,14,8,8,8,8,8,1,1,1,1
5946b524f810d56922577deb,14,8,8,7,5,5,1,"0,875","0,625","0,625"
5946ad0df810d569225204bf,13,9,9,9,9,9,1,1,1,1
5946a92cf810d569224caf07,10,10,10,9,9,9,1,"0,9","0,9","0,9"
5946acc0f810d5692250f4de,12,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aee9f810d56922548f56,13,9,9,9,9,9,1,1,1,1
5946ad0df810d56922520214,18,10,10,10,10,10,1,1,1,1
5946a5f4f810d5692244baea,19,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ad4df810d56922526a74,12,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8f4f810d569224bc7f8,12,14,14,14,14,14,1,1,1,1
5946a8f6f810d569224bdea2,12,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946aef1f810d569225509d8,10,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946acc0f810d5692250f5e4,14,10,10,10,9,9,1,1,"0,9","0,9"
5946aef1f810d569225509cb,14,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ad00f810d56922514c0c,11,8,8,8,8,8,1,1,1,1
5946aee8f810d569225483dc,10,11,11,11,11,11,1,1,1,1
5946adbaf810d5692253263f,8,9,9,9,9,9,1,1,1,1
5946ac2bf810d5692250a40f,15,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fff810d569224c661e,12,8,8,7,6,6,1,"0,875","0,75","0,75"
5946a8fbf810d569224c244a,14,11,11,11,9,9,1,1,"0,8181818182","0,8181818182"
5946b009f810d5692255baf2,10,10,10,10,10,10,1,1,1,1
5946abb7f810d5692250434c,18,9,9,9,9,9,1,1,1,1
5946afeff810d5692255982f,10,10,10,10,10,10,1,1,1,1
5946aeebf810d5692254ab3d,15,12,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946aef2f810d56922550e01,11,9,9,9,9,9,1,1,1,1
5946acfff810d56922514838,9,8,8,8,8,8,1,1,1,1
5946afeff810d56922559774,15,9,9,9,9,9,1,1,1,1
5946ae29f810d56922539488,13,8,8,7,6,5,1,"0,875","0,75","0,625"
5946a8faf810d569224c1c86,11,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a8f5f810d569224bd83c,21,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ad0cf810d5692251ec5e,12,10,10,9,9,9,1,"0,9","0,9","0,9"
5946acfef810d5692251378d,11,9,9,9,9,9,1,1,1,1
5946ad07f810d5692251a84a,10,9,9,9,9,9,1,1,1,1
5946a8faf810d569224c1f18,12,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946a8fdf810d569224c4b2d,15,11,11,11,11,11,1,1,1,1
5946acfef810d56922513885,10,8,8,8,8,8,1,1,1,1
5946acfff810d56922513f3a,18,8,8,8,8,8,1,1,1,1
5946a790f810d5692248e90e,12,8,8,7,7,7,1,"0,875","0,875","0,875"
5946aac0f810d569224f6572,10,10,10,10,10,10,1,1,1,1
5946a8f4f810d569224bbea3,19,13,13,13,13,13,1,1,1,1
5946ad0df810d569225203b9,19,10,10,10,10,10,1,1,1,1
5946b1e7f810d569225693c9,12,10,10,8,8,8,1,"0,8","0,8","0,8"
5946a8f2f810d569224baa29,18,10,10,10,10,10,1,1,1,1
5946a8f5f810d569224bd2f8,17,10,10,10,10,10,1,1,1,1
5946ad4ff810d569225282ad,16,8,8,8,8,8,1,1,1,1
5946aee6f810d5692254680d,11,12,12,12,12,12,1,1,1,1
5946a8f7f810d569224bea68,18,8,8,8,8,8,1,1,1,1
5946a8f5f810d569224bd91a,12,10,10,10,10,10,1,1,1,1
5946aef2f810d56922551502,19,9,9,9,9,9,1,1,1,1
5946b1e7f810d569225696cd,18,8,8,7,7,7,1,"0,875","0,875","0,875"
5946ad98f810d5692252e699,16,11,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a8faf810d569224c1b7c,17,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946abf5f810d56922508da8,5,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946acc1f810d5692251088b,16,8,8,8,7,6,1,1,"0,875","0,75"
5946a7b7f810d5692249448e,12,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946abf5f810d56922508dbf,7,10,10,10,10,10,1,1,1,1
5946ad05f810d56922519128,16,12,12,12,12,12,1,1,1,1
5946a5f3f810d5692244ac85,15,9,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946abb7f810d56922504b43,15,8,8,7,7,7,1,"0,875","0,875","0,875"
5946a8f2f810d569224ba72b,12,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f2f810d569224499d3,6,8,8,6,6,6,1,"0,75","0,75","0,75"
5946ad02f810d56922516829,10,10,10,9,9,9,1,"0,9","0,9","0,9"
