com_id, Nodi, Conteggio, NumeroClique, intrusi, Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5a2aab605b73222015f87f6b,18,13,9,0,18,16,15,15,1,"0,8888888889","0,8333333333","0,8333333333"
5a2aacc35b73222015f88516,17,1,10,0,17,14,12,10,1,"0,8235294118","0,7058823529","0,5882352941"
5a2abab05b73222015f8e0c2,17,4,17,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a2abbe65b73222015f8ebef,17,5,10,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a29c4205b73222015f6e0ef,17,6,6,0,17,17,17,17,1,1,1,1
5a2aaba15b73222015f88164,17,6,12,0,17,16,15,15,1,"0,9411764706","0,8823529412","0,8823529412"
5a2ab1805b73222015f89f23,17,6,16,1,16,16,16,16,"0,9411764706","0,9411764706","0,9411764706","0,9411764706"
5a2abd545b73222015f8f7f3,17,6,9,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2ac2d15b73222015f91ae6,17,6,14,0,17,14,14,14,1,"0,8235294118","0,8235294118","0,8235294118"
5a2aba735b73222015f8dda6,17,7,14,0,17,17,17,17,1,1,1,1
5a2abc805b73222015f8f31b,17,7,10,1,16,14,14,14,"0,9411764706","0,8235294118","0,8235294118","0,8235294118"
5a2aab4f5b73222015f87ec0,17,8,13,0,17,16,15,15,1,"0,9411764706","0,8823529412","0,8823529412"
5a2abc7b5b73222015f8f287,17,8,19,0,17,17,16,16,1,1,"0,9411764706","0,9411764706"
5a2abd315b73222015f8f6f6,17,8,8,0,17,17,16,16,1,1,"0,9411764706","0,9411764706"
5a2abd5f5b73222015f8f847,17,8,9,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2abd6b5b73222015f8f8a2,17,8,19,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a2a498a5b73222015f8306e,17,9,6,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a2abb925b73222015f8e8be,17,9,9,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2abbaf5b73222015f8e9fe,17,9,9,0,17,17,17,17,1,1,1,1
5a2abbbf5b73222015f8ea76,17,9,13,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2abbd95b73222015f8eb5d,17,9,13,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a2abc4c5b73222015f8efb9,17,9,16,1,16,16,16,16,"0,9411764706","0,9411764706","0,9411764706","0,9411764706"
5a2a1ec75b73222015f7f2af,17,10,8,0,17,15,14,14,1,"0,8823529412","0,8235294118","0,8235294118"
5a2a31745b73222015f80ca8,17,10,10,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2ab4c45b73222015f8b8db,17,10,6,0,17,17,17,17,1,1,1,1
5a2abd585b73222015f8f815,17,10,13,0,17,14,14,14,1,"0,8235294118","0,8235294118","0,8235294118"
5a2abe485b73222015f8fbe0,17,10,15,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a312b685b7322713613cf45,17,10,19,0,16,13,13,13,"0,9411764706","0,7647058824","0,7647058824","0,7647058824"
5a29dfa25b73222015f77c30,17,11,9,0,17,15,14,14,1,"0,8823529412","0,8235294118","0,8235294118"
5a2aab645b73222015f87faf,17,11,11,0,17,17,16,16,1,1,"0,9411764706","0,9411764706"
5a2abd6f5b73222015f8f8b2,17,11,17,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a29bf915b73222015f6cd66,17,12,5,0,17,15,15,15,1,"0,8823529412","0,8823529412","0,8823529412"
5a2abdfe5b73222015f8fa3c,17,12,10,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a2ac2cb5b73222015f91a31,17,12,8,0,17,16,16,16,1,"0,9411764706","0,9411764706","0,9411764706"
5a29c3875b73222015f6de47,17,15,6,1,16,16,16,16,"0,9411764706","0,9411764706","0,9411764706","0,9411764706"
5a2abc7b5b73222015f8f280,16,3,11,0,16,13,13,13,1,"0,8125","0,8125","0,8125"
5a312b6f5b7322713613cf7f,16,4,9,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
5a2abb9f5b73222015f8e971,16,5,5,0,16,14,14,14,1,"0,875","0,875","0,875"
5a2abc295b73222015f8ee74,16,6,9,0,16,15,14,14,1,"0,9375","0,875","0,875"
5a2ac3695b73222015f91ba6,16,6,6,0,16,14,14,14,1,"0,875","0,875","0,875"
5a312b695b7322713613cf5d,16,6,6,0,16,14,14,14,1,"0,875","0,875","0,875"
5a29f60d5b73222015f7b91f,16,7,9,0,16,16,16,16,1,1,1,1
5a2aa96c5b73222015f87aa9,16,7,11,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
5a2abc0c5b73222015f8ed68,16,7,13,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
