clique_id, presenze massime_count, numero_nodi, intrusi ,Soglia 1,Soglia 2,Soglia 3,Soglia 4,fr1,fr2,fr3,fr4
5946aee8f810d56922548319,7,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946ab35f810d569224fc5b6,1,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
5946ab6ef810d5692250038b,3,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946ad03f810d569225179a7,10,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a5b3f810d5692243ffa6,2,8,1,6,4,4,4,"0,75","0,5","0,5","0,5"
5946a5b3f810d5692243ff76,1,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946ad02f810d56922516ffe,12,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a5f4f810d5692244b2e6,13,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946aef0f810d5692254faf8,11,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a587f810d569224390e0,3,8,0,7,7,3,3,"0,875","0,875","0,375","0,375"
5946abb8f810d56922505553,15,9,0,9,7,7,7,1,"0,7777777778","0,7777777778","0,7777777778"
5946aeb5f810d5692253fdb6,1,9,0,9,8,6,6,1,"0,8888888889","0,6666666667","0,6666666667"
5946a7a3f810d569224910f1,1,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946ad0ef810d56922520502,8,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f2f810d5692244a09e,17,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946aeeaf810d56922549f33,11,12,0,12,10,10,10,1,"0,8333333333","0,8333333333","0,8333333333"
5946aeeaf810d56922549e88,12,13,0,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946a8f1f810d569224b9e19,11,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ab34f810d569224fbf81,1,9,0,9,7,7,5,1,"0,7777777778","0,7777777778","0,5555555556"
5946b15ff810d5692256598e,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a5b3f810d569224403b6,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a8faf810d569224c16c6,8,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946aa03f810d569224e4067,6,8,0,6,5,4,4,"0,75","0,625","0,5","0,5"
5946b1e7f810d5692256944e,8,10,0,10,8,8,8,1,"0,8","0,8","0,8"
5946a6f6f810d56922475481,1,8,0,8,6,6,4,1,"0,75","0,75","0,5"
5946ac43f810d5692250b1b9,2,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946a7a3f810d56922490d70,2,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946a7a2f810d56922490486,7,8,0,6,6,4,4,"0,75","0,75","0,5","0,5"
5946ab34f810d569224fbf49,2,9,0,8,7,6,5,"0,8888888889","0,7777777778","0,6666666667","0,5555555556"
5946a8fff810d569224c6382,11,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5f2f810d5692244a0a0,12,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a7a4f810d56922491871,3,8,0,7,6,4,4,"0,875","0,75","0,5","0,5"
5946ad0bf810d5692251e0c1,17,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946aa04f810d569224e45cb,1,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946a7a2f810d5692249077e,2,9,0,8,6,6,5,"0,8888888889","0,6666666667","0,6666666667","0,5555555556"
5946a74af810d56922486c92,2,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946a7a2f810d569224907af,1,9,0,9,6,6,4,1,"0,6666666667","0,6666666667","0,4444444444"
5946a5f4f810d5692244b83f,15,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946aeeaf810d56922549de6,12,12,0,12,10,10,10,1,"0,8333333333","0,8333333333","0,8333333333"
5946a94ef810d569224cd8c9,1,8,0,8,5,4,3,1,"0,625","0,5","0,375"
5946aed9f810d56922545c9f,1,8,0,8,6,6,6,1,"0,75","0,75","0,75"
5946a5f3f810d5692244aed8,13,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8faf810d569224c1906,11,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a8fbf810d569224c2d46,11,14,0,14,13,13,13,1,"0,9285714286","0,9285714286","0,9285714286"
5946ab72f810d5692250062f,2,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946a5f4f810d5692244ba96,4,8,0,8,7,6,6,1,"0,875","0,75","0,75"
5946a8fcf810d569224c332a,11,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946ad0af810d5692251d5af,15,10,0,10,10,9,9,1,1,"0,9","0,9"
5946a72ff810d56922480d00,18,10,0,10,10,9,9,1,1,"0,9","0,9"
5946a5b4f810d569224407d8,1,8,0,7,4,3,3,"0,875","0,5","0,375","0,375"
5946a74af810d56922486a29,1,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946a7a3f810d56922490d03,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a7b7f810d56922494b78,13,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946a7a3f810d5692249165c,2,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946acc1f810d56922510603,12,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ab72f810d56922500756,3,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946ad96f810d5692252cb23,16,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a7a2f810d5692249027c,1,8,0,8,6,6,4,1,"0,75","0,75","0,5"
5946a5b3f810d5692243ff75,2,8,0,6,4,3,3,"0,75","0,5","0,375","0,375"
5946ab35f810d569224fc250,1,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
