com_id, Nodi, MassimaFreq, Conteggio, NumeroClique, intrusi
5a2abbbf5b73222015f8ea76,17,16,1,13,0
5a2aabd85b73222015f88237,13,13,1,8,0
5a29d3475b73222015f74f28,11,10,1,2,0
5a2a62145b73222015f849c2,10,8,2,2,0
5a2abc655b73222015f8f0fd,12,12,3,7,0
5a2a4ef15b73222015f83728,11,11,1,3,0
5a29cc085b73222015f71964,14,14,1,3,0
5a2abc275b73222015f8ee5f,13,13,1,6,0
5a2a2b325b73222015f803ed,10,9,2,2,0
5a29c74f5b73222015f6f72e,12,11,2,2,0
5a29f4d45b73222015f7b616,11,9,1,2,0
5a29dfa25b73222015f77c30,17,14,3,9,0
5a2a29ab5b73222015f80178,10,10,1,2,0
5a29d2465b73222015f74a53,11,9,3,2,0
5a29d4b45b73222015f759b0,11,10,1,2,0
5a312ba65b7322713613d332,143,126,1,680,1
5a2abb805b73222015f8e838,11,10,1,2,0
5a29c7045b73222015f6f57c,13,13,1,3,0
5a29d4ee5b73222015f75ae0,11,10,3,2,0
5a2a684d5b73222015f84eb4,12,9,2,5,1
5a29cd205b73222015f71fe0,14,14,1,4,0
5a29d78e5b73222015f76267,12,12,3,3,0
5a2abd525b73222015f8f7d2,11,10,1,3,1
5a2abd775b73222015f8f8ed,14,12,1,10,0
5a2a07fd5b73222015f7d40e,11,11,3,3,0
5a312bca5b7322713613d3e2,151,134,1,485,3
5a2a6d905b73222015f8516b,9,8,3,2,1
5a2abd6b5b73222015f8f8a2,17,15,1,19,0
5a2abe705b73222015f8fd42,14,13,3,5,0
5a2a95005b73222015f86c97,9,8,1,2,0
5a3123ba5b7322713613bcfc,143,128,1,518,0
5a29f6925b73222015f7ba12,14,10,2,6,0
5a2abc695b73222015f8f119,24,20,1,30,0
5a2ac6505b73222015f92784,31,29,1,35,0
5a29d4335b73222015f756bf,13,12,1,4,0
5a2a05005b73222015f7cf7a,10,9,1,2,0
5a2abc125b73222015f8ed84,27,21,1,32,0
5a2a46e45b73222015f82caa,13,13,1,4,0
5a29cc655b73222015f71b2b,12,12,1,2,0
5a2a3dd25b73222015f81f9f,14,14,1,7,0
5a29c4c65b73222015f6e50f,14,13,1,2,0
5a2a18115b73222015f7e9a2,10,10,1,2,0
5a2a2d255b73222015f806fb,11,10,1,3,0
5a2a85845b73222015f86272,13,9,1,6,0
5a2a5d8d5b73222015f84665,9,9,2,2,0
5a2abb9f5b73222015f8e969,16,16,3,6,0
5a2aba635b73222015f8dcde,26,21,1,43,0
5a2ab3215b73222015f8acbc,15,14,1,9,0
